candidate_number,commons_file,thumbnail_url,original_image_url,commons_url,author,license,license_url,description
1,"File:Ellora Caves, India, Dashavatara Temple, Cave 15.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/Ellora_Caves%2C_India%2C_Dashavatara_Temple%2C_Cave_15.jpg/500px-Ellora_Caves%2C_India%2C_Dashavatara_Temple%2C_Cave_15.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/ea/Ellora_Caves%2C_India%2C_Dashavatara_Temple%2C_Cave_15.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_Dashavatara_Temple,_Cave_15.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Ellora Caves, Aurangabad, Maharashtra, India. 600–1000 CE."
2,"File:Ellora Caves, India, Facade of ancient Buddhist temple, Cave 11.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/Ellora_Caves%2C_India%2C_Facade_of_ancient_Buddhist_temple%2C_Cave_11.jpg/500px-Ellora_Caves%2C_India%2C_Facade_of_ancient_Buddhist_temple%2C_Cave_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/c/c5/Ellora_Caves%2C_India%2C_Facade_of_ancient_Buddhist_temple%2C_Cave_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_Facade_of_ancient_Buddhist_temple,_Cave_11.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"This architecturally important three-story Buddhist cave temple was built between 630-700 CE. Ellora caves is one of the largest rock-cut monastery temple cave complexes in the world. Ellora Caves, Maharashtra, India. 600–1000 CE."
3,"File:Ellora Caves, India, Kailasanatha Temple 2.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/Ellora_Caves%2C_India%2C_Kailasanatha_Temple_2.jpg/500px-Ellora_Caves%2C_India%2C_Kailasanatha_Temple_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/3/3a/Ellora_Caves%2C_India%2C_Kailasanatha_Temple_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_Kailasanatha_Temple_2.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Kailasanatha temple is a megalith carved out of one single basalt rock. Its construction is attributed to king Krishna I (c. 8th century). It is one of the most remarkable cave temples in India because of its size, architecture and sculptural treatment. Ellora Caves, Aurangabad, Maharashtra, India. 600–1000 CE."
4,"File:Ellora Caves, India, Pillared hall, Ancient temple.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0d/Ellora_Caves%2C_India%2C_Pillared_hall%2C_Ancient_temple.jpg/500px-Ellora_Caves%2C_India%2C_Pillared_hall%2C_Ancient_temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/0/0d/Ellora_Caves%2C_India%2C_Pillared_hall%2C_Ancient_temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_Pillared_hall,_Ancient_temple.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Ellora caves is one of the largest rock-cut monastery temple cave complexes in the world. Ellora Caves, Maharashtra, India. 600–1000 CE."
5,"File:Ellora Caves, India, Pillared hall.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/Ellora_Caves%2C_India%2C_Pillared_hall.jpg/500px-Ellora_Caves%2C_India%2C_Pillared_hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/9b/Ellora_Caves%2C_India%2C_Pillared_hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_Pillared_hall.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Ellora caves is one of the largest rock-cut monastery temple cave complexes in the world. Ellora Caves, Maharashtra, India. 600–1000 CE."
6,"File:Ellora Caves, India, Rock-cut monastery temple cave complex.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/Ellora_Caves%2C_India%2C_Rock-cut_monastery_temple_cave_complex.jpg/500px-Ellora_Caves%2C_India%2C_Rock-cut_monastery_temple_cave_complex.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/d9/Ellora_Caves%2C_India%2C_Rock-cut_monastery_temple_cave_complex.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_Rock-cut_monastery_temple_cave_complex.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"There are over 100 caves at the site, all excavated from the basalt cliffs. Ellora Caves, Maharashtra, India. 600–1000 CE."
7,"File:Ellora Caves, India, Rock-cut monastery temple caves.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/7/74/Ellora_Caves%2C_India%2C_Rock-cut_monastery_temple_caves.jpg/500px-Ellora_Caves%2C_India%2C_Rock-cut_monastery_temple_caves.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/74/Ellora_Caves%2C_India%2C_Rock-cut_monastery_temple_caves.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_Rock-cut_monastery_temple_caves.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"There are over 100 caves at the site, all excavated from the basalt cliffs. Ellora Caves, Maharashtra, India. 600–1000 CE."
8,"File:Ellora Caves, India, The Dashavatara Temple.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/Ellora_Caves%2C_India%2C_The_Dashavatara_Temple.jpg/500px-Ellora_Caves%2C_India%2C_The_Dashavatara_Temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/dd/Ellora_Caves%2C_India%2C_The_Dashavatara_Temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_The_Dashavatara_Temple.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Ellora Caves, Aurangabad, Maharashtra, India. 600–1000 CE."
9,"File:Ellora Caves, India, The Vishvakarma Buddhist Cave.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/Ellora_Caves%2C_India%2C_The_Vishvakarma_Buddhist_Cave.jpg/500px-Ellora_Caves%2C_India%2C_The_Vishvakarma_Buddhist_Cave.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/1/13/Ellora_Caves%2C_India%2C_The_Vishvakarma_Buddhist_Cave.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India,_The_Vishvakarma_Buddhist_Cave.jpg","<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Ellora Caves, Maharashtra, India. 600–1000 CE."
10,"File:Ellora Caves, India.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Ellora_Caves%2C_India.jpg/500px-Ellora_Caves%2C_India.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/91/Ellora_Caves%2C_India.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Ellora_Caves,_India.jpg","<a href=""//commons.wikimedia.org/w/index.php?title=User:Amitbalani&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Amitbalani (page does not exist)"">Amitbalani</a>",CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"Ellora Caves in Maharashtra, India"
